City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,Sabha,LY,71.35,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
92,Puerto Ayora,EC,77,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
155,Port-Gentil,GA,80.6,light rain,-0.7193,8.7815,Fengshui Residence
316,Sakakah,SA,77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
330,Puerto Narino,CO,78.8,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
124,Quatre Cocos,MU,78.8,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
395,Portland,US,75,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
51,Tulsipur,NP,74.93,overcast clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
121,Kralendijk,BQ,80.6,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
182,Kutum,SD,75.74,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
436,Alice Springs,AU,73.99,clear sky,-23.7,133.8833,Desert Palms Alice Springs
447,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
449,Daru,PG,81.72,overcast clouds,-9.0763,143.2092,Daru Lodge
602,Grand-Bourg,GP,78.8,clear sky,15.8835,-61.3148,Coco Beach Resort
512,Okitipupa,NG,76.6,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
217,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
660,Tezu,IN,78.1,clear sky,27.9167,96.1667,Circuit House
161,Saint-Philippe,RE,77,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
612,Severiano Melo,BR,72.48,overcast clouds,-5.7772,-37.9578,Chácara Bela Vista
342,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
528,Bubaque,GW,78.01,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
67,La Romana,DO,77,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
525,Hambantota,LK,77,few clouds,6.1241,81.1185,Bungalow 63
393,Faanui,PF,82.2,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
614,Asosa,ET,74.44,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
531,Ransang,PH,81.39,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
142,Saint George,US,78.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
441,Guane,CU,77.59,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
255,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
685,Pontianak,ID,77,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
421,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
