City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Baykit,RU,61.67,96.37,21.02,92,100,3.4,overcast clouds
141,Upernavik,GL,72.7868,-56.1549,5.72,86,99,6.38,overcast clouds
142,Saint George,US,37.1041,-113.5841,78.01,10,1,2.1,clear sky
143,Torbay,CA,47.6666,-52.7314,37.0,93,90,17.27,overcast clouds
144,Swan River,CA,52.1058,-101.2676,41.0,42,100,9.22,overcast clouds
145,Nova Londrina,BR,-22.7658,-52.985,70.03,60,6,9.06,clear sky
146,Ponta Delgada,PT,37.7333,-25.6667,62.6,94,75,10.36,broken clouds
147,Tual,ID,-5.6667,132.75,82.62,75,98,7.47,overcast clouds
148,Mareeba,AU,-17.0,145.4333,75.2,94,90,4.61,moderate rain
149,Barrow,US,71.2906,-156.7887,19.4,73,1,13.8,clear sky
150,Marsaxlokk,MT,35.8419,14.5431,57.2,82,0,10.36,clear sky
151,Dalnerechensk,RU,45.9339,133.7225,51.96,24,5,9.31,clear sky
152,Luau,AO,-10.7073,22.2247,63.72,76,82,4.18,broken clouds
153,Yar-Sale,RU,66.8333,70.8333,14.23,98,99,6.29,overcast clouds
154,Hilo,US,19.7297,-155.09,84.2,51,1,17.27,clear sky
155,Port-Gentil,GA,-0.7193,8.7815,80.6,94,20,2.3,light rain
156,Gorontalo,ID,0.5412,123.0595,81.39,76,100,2.17,overcast clouds
157,Rudolstadt,DE,50.7167,11.3333,43.0,90,44,2.89,scattered clouds
158,Bara,NG,10.3744,10.7288,85.15,51,70,7.52,broken clouds
159,Carnarvon,AU,-24.8667,113.6333,69.8,52,0,9.22,clear sky
160,Samarai,PG,-10.6167,150.6667,84.18,72,76,11.1,broken clouds
161,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,90,10.36,light rain
162,Mitu,CO,1.1983,-70.1733,74.44,91,95,2.1,overcast clouds
163,Vao,NC,-22.6667,167.4833,73.36,64,27,6.31,scattered clouds
164,Behbahan,IR,30.5959,50.2417,64.4,52,0,2.39,clear sky
165,Tomatlan,MX,19.9333,-105.25,81.45,46,0,6.8,clear sky
166,Eureka,US,40.8021,-124.1637,57.99,81,72,8.99,broken clouds
167,Te Anau,NZ,-45.4167,167.7167,57.42,66,94,1.32,overcast clouds
168,Ryotsu,JP,38.0833,138.4333,55.4,58,20,6.91,few clouds
169,Kintampo,GH,8.0563,-1.7306,74.84,84,100,3.11,overcast clouds
170,Palana,RU,59.1167,159.9667,31.59,91,100,8.25,overcast clouds
171,Lasa,IT,46.6166,10.7002,43.0,75,0,4.61,clear sky
172,Vilyuysk,RU,63.7553,121.6247,12.29,90,97,2.26,overcast clouds
173,Reconquista,AR,-29.15,-59.65,69.08,70,1,7.92,clear sky
174,Belmonte,BR,-15.8631,-38.8828,75.2,88,20,4.61,few clouds
175,Valentin Gomez Farias,MX,28.2167,-106.5833,80.01,21,13,1.99,few clouds
176,Praia Da Vitoria,PT,38.7333,-27.0667,64.4,77,20,7.52,few clouds
177,Chapais,CA,49.7834,-74.8492,23.0,80,90,12.66,light snow
178,Qaanaaq,GL,77.484,-69.3632,-1.57,71,81,6.87,broken clouds
179,Hasaki,JP,35.7333,140.8333,68.0,52,20,12.66,few clouds
180,Taoudenni,ML,22.6783,-3.9836,84.63,11,41,4.54,scattered clouds
181,Santiago Del Estero,AR,-27.7951,-64.2615,84.36,38,83,15.14,broken clouds
182,Kutum,SD,14.2,24.6667,75.74,9,2,10.69,clear sky
183,Jamestown,US,42.097,-79.2353,37.0,69,90,6.91,overcast clouds
184,Dunedin,NZ,-45.8742,170.5036,61.18,53,7,2.66,clear sky
185,Port Lincoln,AU,-34.7333,135.8667,57.69,50,25,5.06,scattered clouds
186,Khatanga,RU,71.9667,102.5,-2.97,97,100,3.22,overcast clouds
187,Buritizeiro,BR,-17.3511,-44.9622,74.34,49,98,4.14,overcast clouds
188,Beloha,MG,-25.1667,45.05,69.55,78,80,13.71,broken clouds
189,Sitka,US,57.0531,-135.33,48.2,71,1,14.97,clear sky
190,Chunoyar,RU,57.4467,97.3217,19.98,90,100,3.98,light snow
191,Christchurch,NZ,-43.5333,172.6333,63.0,67,92,11.5,overcast clouds
192,Turukhansk,RU,65.8167,87.9833,5.74,94,16,5.64,few clouds
193,Marfino,RU,55.7028,37.3822,36.0,93,75,11.18,moderate rain
194,Maramba,TZ,-5.05,38.6167,62.69,90,94,4.68,overcast clouds
195,Sioux Lookout,CA,50.1001,-91.917,28.4,40,75,3.44,broken clouds
196,Katete,UG,-0.7818,29.7544,58.8,91,100,3.49,overcast clouds
197,Kalmunai,LK,7.4167,81.8167,77.63,85,92,3.89,overcast clouds
198,Kirakira,SB,-10.4544,161.9205,86.04,70,84,8.01,broken clouds
199,Sosva,RU,59.1766,61.8558,32.67,90,6,4.07,clear sky
200,Constantine,DZ,36.365,6.6147,51.8,71,0,5.75,clear sky
201,Bay Roberts,CA,47.5999,-53.2648,37.99,86,100,4.0,overcast clouds
202,Severnyy,RU,50.677,36.5532,39.2,93,75,11.18,broken clouds
203,Korla,CN,41.7597,86.1469,61.47,31,78,3.02,broken clouds
204,Kot Diji,PK,27.3427,68.7083,69.8,73,25,9.19,haze
205,Shenjiamen,CN,29.9576,122.298,60.35,88,49,13.82,scattered clouds
206,Sistranda,NO,63.7256,8.834,39.2,93,75,13.8,moderate rain
207,Lerwick,GB,60.1545,-1.1494,41.0,65,40,19.57,scattered clouds
208,Dikson,RU,73.5069,80.5464,9.0,92,100,21.0,overcast clouds
209,San Quintin,MX,30.4833,-115.95,63.05,67,18,13.8,few clouds
210,Burnie,AU,-41.0667,145.9167,54.0,55,5,7.0,clear sky
211,Oleksandrivka,UA,48.9634,32.2349,41.61,97,85,7.52,overcast clouds
